,price,location,"rooms[bed,bath]",SQm,type_p,description,link
55,"$1,073,033,882CLP"," Mariquina, Valdivia, Los Rios, Chile","[' ', ' ']","97,411 SqM ",Land, Land for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-valdivia-in-mariquina-los-rios-u545936
56,"$1,079,533,112CLP"," Mariquina, Valdivia, Los Rios, Chile","[' ', ' ']","97,411 SqM ",Land, Land for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-valdivia-in-mariquina-los-rios-u545416
57,"$184,512,037CLP($761,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['3', '3']",241.92 SqM ,House,3 Bedroom House for sale at Concon,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-concon-in-vina-del-mar-valparaiso-u547650
58,"$242,344,168CLP($1,860,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['4', '3']",130 SqM ,Apartment,4 Bedroom Apartment for sale at Concon,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-concon-in-vina-del-mar-valparaiso-u545842
59,"$520,000,000CLP($798,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['4', '5']",650.01 SqM ,House,4 Bedroom House for sale at Concon,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-concon-in-vina-del-mar-valparaiso-u546676
60,"$437,045,675CLP($1,540,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['4', '4']",284 SqM ,House,4 Bedroom House for sale at Concon,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-concon-in-vina-del-mar-valparaiso-u547318
61,"$244,822,687CLP($1,160,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['5', '5']",210 SqM ,House,5 Bedroom House for sale at Concon,https://www.fazwaz.cl/en/property-sales/5-bedroom-house-for-sale-at-concon-in-vina-del-mar-valparaiso-u545406
62,"$163,031,531CLP($1,160,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['4', '3']",140 SqM ,House,4 Bedroom House for sale at Concon,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-concon-in-vina-del-mar-valparaiso-u547520
63,"$217,558,969CLP($1,970,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['3', '2']",110 SqM ,Apartment,3 Bedroom Apartment for sale at Concon,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-concon-in-vina-del-mar-valparaiso-u547680
64,"$236,836,346CLP($2,020,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['3', '3']",117 SqM ,Apartment,3 Bedroom Apartment for sale at Concon,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-concon-in-vina-del-mar-valparaiso-u547192
65,"$258,867,634CLP($1,660,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['4', '3']",156 SqM ,House,4 Bedroom House for sale at Concon,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-concon-in-vina-del-mar-valparaiso-u547302
66,"$96,386,885CLP($1,810,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['2', '1']",53 SqM ,Apartment,2 Bedroom Apartment for sale at Concon,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-concon-in-vina-del-mar-valparaiso-u547632
67,"$179,004,215CLP($2,080,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['3', '2']",86 SqM ,Apartment,3 Bedroom Apartment for sale at Concon,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-concon-in-vina-del-mar-valparaiso-u546810
68,"$192,773,770CLP($2,170,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['3', '2']",88.70 SqM ,Apartment,3 Bedroom Apartment for sale at Concon,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-concon-in-vina-del-mar-valparaiso-u545748
69,"$151,465,105CLP($2,750,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['2', '2']",55 SqM ,Apartment,2 Bedroom Apartment for sale at Concon,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-concon-in-vina-del-mar-valparaiso-u545480
70,"$413,086,650CLP($2,290,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['4', '3']",180 SqM ,House,4 Bedroom House for sale at Concon,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-concon-in-vina-del-mar-valparaiso-u547180
